업종,상호,소재지(도로명)
종합여행업,주식회사 한국학생여행(KS TOUR),"서울특별시 광진구 아차산로78길 110, 508호 (광장동)"
종합여행업,(주)유토피아퓨처,"서울특별시 광진구 광나루로56길 85, 테크노-마트21 32층 12호 (구의동)"
종합여행업,서울메이트(Seoul Mate),"서울특별시 광진구 아차산로 378, 373호 (자양동, 한승빌딩)"
종합여행업,(주)골프파크,"서울특별시 광진구 자양로 126, 성지하이츠 710호 (구의동)"
종합여행업,(주)잡플러스,"서울특별시 광진구 광나루로15길 7-4, 5층 (군자동)"
종합여행업,(주)여행모아,"서울특별시 광진구 아차산로 214, 4층 (자양동)"
종합여행업,주식회사 한길국제여행사,"서울특별시 광진구 용마산로 53, 101호 (중곡동)"
종합여행업,프리가트,"서울특별시 광진구 자양로 116, 821호 (구의동, 웰츠타워)"
종합여행업,(주)대성아이엠지코리아,"서울특별시 광진구 구의강변로 38, 동서울호텔 지하2층 201호 (구의동)"
종합여행업,낙신여행사,"서울특별시 광진구 아차산로78길 44, 크레스코빌딩 7층 811호 (광장동)"
종합여행업,(주)힐빙투어,"서울특별시 광진구 영화사로 3, 2층 (중곡동)"
종합여행업,제주투어몰,"서울특별시 광진구 아차산로 431, 101동 209호 (구의동, 강변에스케이뷰)"
종합여행업,트랄랄라 투어,"서울특별시 광진구 능동로37길 6, 3층 302호 (중곡동)"
종합여행업,비마이컨시어지(주),"서울특별시 광진구 아차산로 355, 타워더모스트광진아크로텔 3층 305호 (자양동)"
종합여행업,(주)도성국제,"서울특별시 광진구 아차산로78길 44, 크레스코빌딩 710호 (광장동)"
종합여행업,(주)티에프티 글로벌(TFT Global),"서울특별시 광진구 천호대로 569, 4층 402호 (중곡동)"
종합여행업,트립위드,"서울특별시 광진구 자양번영로13길 6, 102호 (자양동)"
종합여행업,(주)지극히주관적인여행,"서울특별시 광진구 동일로34길 31, 201호 (군자동)"
종합여행업,주식회사 다모아코리아,"서울특별시 광진구 능동로11길 8-5, 폴라리스 빌딩 6층 601호 (화양동)"
종합여행업,주식회사 현운서비스,"서울특별시 광진구 능동로 327, 501호 (중곡동)"
종합여행업,Stunning Korea,"서울특별시 광진구 광나루로 416, 건회빌딩 지층 (화양동)"
종합여행업,티에스엠 주식회사,"서울특별시 광진구 용마산로32길 5, 티에스엠 주식회사 (중곡동)"
종합여행업,유브렌디,"서울특별시 광진구 동일로56길 37, 1층 102호 (군자동)"
종합여행업,숨은 지구 찾기,"서울특별시 광진구 능동로 245, 무중력지대 3층 (군자동)"
종합여행업,주식회사 투리스타,"서울특별시 광진구 자양로 116, 1408호 (구의동, 웰츠타워)"
종합여행업,(주)안심국제,"서울특별시 광진구 용마산로28길 51, 301호 (중곡동, SKY 17)"
종합여행업,안나투어주식회사,"서울특별시 광진구 자양로18길 96, 베스트트레드빌 506-12호 (구의동)"
종합여행업,(주)투게더투어코리아,"서울특별시 광진구 뚝섬로43길 28, 지층 02호 (자양동, 세림에버빌3차)"
종합여행업,골프맨,"서울특별시 광진구 자양로 126, 성지하이츠 7층 710호 (구의동)"
종합여행업,(주)인포랑,"서울특별시 광진구 광나루로56길 85, 테크노-마트21 31층 3,4호 (구의동)"
종합여행업,주식회사 씨엔피위너스,"서울특별시 광진구 아차산로78길 44, 크레스코빌딩 3층 315호 (광장동)"
종합여행업,(주)비티앤아이그룹,"서울특별시 광진구 아차산로 355, 타워더모스트광진아크로텔 3층 305호 (자양동)"
종합여행업,티티에스 주식회사,"서울특별시 광진구 광나루로 361, 101동 213호 (군자동, 광진 동양파라곤 1단지)"
종합여행업,주식회사 케이이티에이,"서울특별시 광진구 아차산로 375, 크레신타워3차 비321호 (구의동)"
종합여행업,주식회사 비즈공감,"서울특별시 광진구 자양로13길 8, 9층 (자양동, 아스하임)"
관광공연장업,SK 네트웍스(주) 워커힐 씨어터,서울특별시 광진구 워커힐로 177 (광장동)
관광공연장업,동서울아트홀,"서울특별시 광진구 구의강변로 38  (구의동,동서울관광호텔 지하2층)"
외국인관광 도시민박업,친친스테이(Chinchin Stay),서울특별시 광진구 자양번영로5길 37-1 (자양동)
외국인관광 도시민박업,줄라이(July),"서울특별시 광진구 뚝섬로60길 4-10, 201호 (자양동, 스카이빌)"
외국인관광 도시민박업,River Side,서울특별시 광진구 뚝섬로 702-4 (자양동)
외국인관광 도시민박업,SB하우스,서울특별시 광진구 광나루로30가길 7-8 (구의동)
외국인관광 도시민박업,아늑공간,"서울특별시 광진구 자양로44나길 17, 지층 (구의동, 솔라빌리지)"
외국인관광 도시민박업,자양토박이네(Jayang Tobak's House),서울특별시 광진구 자양번영로7길 16-7 (자양동)
외국인관광 도시민박업,Konkuk univ cozy house,"서울특별시 광진구 아차산로26길 17-6, 202호 (자양동, 트윈빌)"
외국인관광 도시민박업,파랑새 하우스(Bluebird house),"서울특별시 광진구 동일로26길 33, 102호 (화양동)"
외국인관광 도시민박업,게스트하우스 브릭핸즈,"서울특별시 광진구 능동로16길 50-7, 401호 (화양동, BRICK HANDS-7)"
외국인관광 도시민박업,이모네하우스,"서울특별시 광진구 자양로15길 108, 400호 (자양동)"
외국인관광 도시민박업,Joeng Stay,"서울특별시 광진구 자양번영로1길 31-10, 스튜디오 안 501호 (자양동)"
외국인관광 도시민박업,릴릴레지던스 1,서울특별시 광진구 용마산로 6-10 (중곡동)
외국인관광 도시민박업,릴릴레지던스 2,서울특별시 광진구 용마산로 6-10 (중곡동)
외국인관광 도시민박업,삼삼 게스트하우스,"서울특별시 광진구 광나루로20가길 5, 101호 (화양동)"
한옥체험업,육영재단 어린이회관,서울특별시 광진구 광나루로 441 (능동)
국제회의기획업,(주)에스인기획,"서울특별시 광진구 능동로36길 9  (능동,경도빌딩 3층)"
국제회의기획업,코드컴퍼니,서울특별시 광진구 천호대로141길 6 (광장동)
국제회의기획업,(주)엑스코그룹코리아,
국제회의기획업,티에스엠 주식회사,서울특별시 광진구 용마산로32길 5 (중곡동)
국제회의기획업,앰비애드에이(주),서울특별시 광진구 면목로 41 (군자동)
국제회의기획업,에이비프로(주),"서울특별시 광진구 아차산로78길 44, 705호 (광장동)"
국제회의기획업,(주)루트엔코,"서울특별시 광진구 광나루로 450, 302호 (화양동, 매스터빌딩)"
국제회의기획업,(주)컨빈코리아,서울특별시 광진구 용마산로32길 5 (중곡동)
국제회의기획업,주식회사 메드랑,"서울특별시 광진구 광나루로56길 85, 테크노-마트21 31층 (구의동)"
국제회의기획업,비마이컨시어지(주),"서울특별시 광진구 아차산로 355, 타워더모스트광진아크로텔 3층 305호 (자양동)"
국제회의기획업,주식회사 베네핏엠엔씨,"서울특별시 광진구 자양번영로11길 18, 302호 (자양동, 월튼 파크뷰 3차)"
국제회의기획업,(주)비티앤아이그룹,"서울특별시 광진구 아차산로 355, 타워더모스트광진아크로텔 305호 (자양동)"
국제회의시설업,에스케이네트웍스 주식회사 워커힐,"서울특별시 광진구 워커힐로 177, 워커힐호텔 (광장동)"
